user_id,first_order_day,most_used_city,count_cuisines,voucher_user,voucher_amount,member_get_member_viral,average_order_value,cnt_orders_7d_fwd,cnt_orders_14d_fwd,cnt_orders_30d_fwd,cnt_orders_60d_fwd,cnt_orders_90d_fwd,cnt_orders_6m_fwd
2509520,24/05/2016,Manchester,1,0,,,22.2,1,1,1,1,1,1
1388390,23/12/2015,London,1,0,,,97.2,1,1,1,1,1,1
4664154,27/06/2016,Manchester,1,1,10,1,35.28,1,1,1,1,1,1
3968328,28/05/2016,London,1,0,,,18.24,1,1,1,1,1,1
2255524,01/03/2016,London,1,0,,,83.04,3,3,3,4,4,5
3196604,22/04/2016,London,2,0,,,39.18,1,1,1,3,3,3
3456060,04/06/2016,London,1,0,,,26.28,1,1,1,2,2,2
3434602,01/07/2016,London,1,0,,,15.6,1,1,1,1,1,1
4576046,24/06/2016,London,1,0,,,52.14,1,1,1,1,1,1
44674,03/09/2015,London,5,0,,,25.7778,2,2,2,5,7,10
4076266,02/06/2016,London,2,0,,,23.7,1,2,2,2,2,2
2170810,26/02/2016,London,1,0,,,39,1,1,1,1,1,1
2578918,16/04/2016,London,2,0,,,27.51,1,1,1,2,2,2
1811846,01/02/2016,London,1,0,,,21.84,1,1,1,1,1,1
805668,22/10/2015,London,1,0,,,19.62,1,1,1,1,2,2
393202,27/07/2015,London,1,0,,,22.59996,2,3,3,3,3,3
676090,20/02/2016,London,1,0,,,19.8,1,1,1,1,1,1
961698,16/01/2016,London,2,0,,,23.04,2,2,2,2,2,2
364392,19/07/2015,Manchester,4,0,,,31.26,1,1,1,2,2,2
1868252,06/02/2016,London,2,0,,,67.99992,3,3,3,3,3,3
4325416,13/06/2016,London,1,0,,,85.44,1,1,1,1,1,1
3257092,24/04/2016,London,7,0,,,37.44456,2,3,5,8,13,13
2875000,04/04/2016,London,1,0,,,35.34,1,1,1,1,1,1
266428,12/06/2015,London,1,0,,,28.14,1,1,1,1,1,1
3639914,14/05/2016,London,2,0,,,32.68656,2,3,6,8,9,9
812432,23/10/2015,London,1,0,,,34.44,1,1,1,1,1,1
